座位ID,取票时间,票型ID,票型,用户ID,邮箱,订单,区域,排数,座位号,,
486017612174345,2023/11/25 10:00:57,129,PLATINUM SEATED,485804341761093,jyungting@jack.com,486363992208837,,,,,
486017612178439,2023/11/25 10:00:59,129,PLATINUM SEATED,485833913025605,782155@jack.com,486363996259461,,,,,
486017612178440,2023/11/25 10:00:59,129,PLATINUM SEATED,485833913025605,782155@jack.com,486363996259461,,,,,
486017612174399,2023/11/25 10:01:01,129,PLATINUM SEATED,479693818704709,453338@jack.com,486363996259909,,,,,
486017612174346,2023/11/25 10:01:02,129,PLATINUM SEATED,486187734275141,1785713@jack.com,486363996280134,,,,,
486017612174348,2023/11/25 10:01:02,129,PLATINUM SEATED,486187734275141,1785713@jack.com,486363996280134,,,,,
482517400904713,2023/11/25 10:01:05,129,PLATINUM SEATED,478280316793669,12571907@jack.com,486364000347845,,,,,
486017612178441,2023/11/25 10:01:06,129,PLATINUM SEATED,486207773668421,zyilun01@jack.com,486364000367877,,,,,
486017612178442,2023/11/25 10:01:06,129,PLATINUM SEATED,486207773668421,zyilun01@jack.com,486364000367877,,,,,
486017612174391,2023/11/25 10:01:09,129,PLATINUM SEATED,486173516387333,300882@jack.com,486364004472517,,,,,
486017612186662,2023/11/25 10:01:10,129,PLATINUM SEATED,482569417315333,zruiweii1029@jack.com,486364004484613,,,,,
486017612178494,2023/11/25 10:01:12,129,PLATINUM SEATED,486160384242757,12901709@jack.com,486364008531525,,,,,
486017612174350,2023/11/25 10:01:13,129,PLATINUM SEATED,482849681200133,2294671@jack.com,486364008535749,,,,,
486017612174351,2023/11/25 10:01:13,129,PLATINUM SEATED,482849681200133,2294671@jack.com,486364008535749,,,,,
486017612186663,2023/11/25 10:01:15,129,PLATINUM SEATED,485500846998597,2608205@jack.com,486364008572165,,,,,
482517400904714,2023/11/25 10:01:16,129,PLATINUM SEATED,486149945291845,1645354@jack.com,486364008592901,,,,,
486017612198963,2023/11/25 10:01:17,129,PLATINUM SEATED,486351648237253,sila0713@jack.com,486364008617093,,,,,
486017612198964,2023/11/25 10:01:17,129,PLATINUM SEATED,486351648237253,sila0713@jack.com,486364008617093,,,,,
486017612198965,2023/11/25 10:01:17,129,PLATINUM SEATED,486351648237253,sila0713@jack.com,486364008617093,,,,,
486017612198966,2023/11/25 10:01:17,129,PLATINUM SEATED,486351648237253,sila0713@jack.com,486364008617093,,,,,
486017612174344,2023/11/25 10:01:22,129,PLATINUM SEATED,486340532720837,18655402@jack.com,486364012709125,,,,,
486017612174381,2023/11/25 10:01:23,129,PLATINUM SEATED,482553560773701,2149284@jack.com,486364012721733,,,,,
486017612174382,2023/11/25 10:01:23,129,PLATINUM SEATED,482553560773701,2149284@jack.com,486364012721733,,,,,
486017612174383,2023/11/25 10:01:23,129,PLATINUM SEATED,482553560773701,2149284@jack.com,486364012721733,,,,,
486017612174384,2023/11/25 10:01:23,129,PLATINUM SEATED,482553560773701,2149284@jack.com,486364012721733,,,,,
486017612203046,2023/11/25 10:01:27,129,PLATINUM SEATED,486349831980421,286664@jack.com,486364012746245,,,,,
486017612198949,2023/11/25 10:01:30,129,PLATINUM SEATED,486363260474949,1764174@jack.com,486364020864453,,,,,
486017612178487,2023/11/25 10:01:31,129,PLATINUM SEATED,486361724393157,3372508@jack.com,486364020864517,,,,,
486017612182572,2023/11/25 10:01:33,129,PLATINUM SEATED,485290039272517,895689@jack.com,486364024919749,,,,,
486017612182573,2023/11/25 10:01:33,129,PLATINUM SEATED,485290039272517,895689@jack.com,486364024919749,,,,,
486017612186657,2023/11/25 10:01:35,129,PLATINUM SEATED,482538657039365,3300684@jack.com,486364024935749,,,,,
486017612186658,2023/11/25 10:01:35,129,PLATINUM SEATED,482538657039365,3300684@jack.com,486364024935749,,,,,
486017612178470,2023/11/25 10:01:37,129,PLATINUM SEATED,482815624659973,2327848@jack.com,486364024936133,,,,,
486017612178471,2023/11/25 10:01:37,129,PLATINUM SEATED,482815624659973,2327848@jack.com,486364024936133,,,,,
486017612178472,2023/11/25 10:01:37,129,PLATINUM SEATED,482815624659973,2327848@jack.com,486364024936133,,,,,
482517400904716,2023/11/25 10:01:41,129,PLATINUM SEATED,486022027703301,1955703@jack.com,486364029539717,,,,,
482517400904717,2023/11/25 10:01:41,129,PLATINUM SEATED,486022027703301,1955703@jack.com,486364029539717,,,,,
486017612207128,2023/11/25 10:01:44,129,PLATINUM SEATED,483900371149893,3333049@jack.com,486364033144453,,,,,
486017612207129,2023/11/25 10:01:44,129,PLATINUM SEATED,483900371149893,3333049@jack.com,486364033144453,,,,,
486017612178451,2023/11/25 10:01:47,129,PLATINUM SEATED,485357833610245,pxincai48@jack.com,486364037215941,,,,,
486017612178452,2023/11/25 10:01:47,129,PLATINUM SEATED,485357833610245,pxincai48@jack.com,486364037215941,,,,,
486017612174377,2023/11/25 10:01:49,129,PLATINUM SEATED,482528361952261,725516@jack.com,486364037219973,,,,,
486017612198955,2023/11/25 10:01:50,129,PLATINUM SEATED,486168703861829,h_yxd@jack.com,486364037227653,,,,,
486017612198956,2023/11/25 10:01:50,129,PLATINUM SEATED,486168703861829,h_yxd@jack.com,486364037227653,,,,,
486017612178466,2023/11/25 10:01:52,129,PLATINUM SEATED,484717527270405,1918087@jack.com,486364037231941,,,,,
486017612174357,2023/11/25 10:01:54,129,PLATINUM SEATED,482552276665349,m95035@jack.com,486364041307397,,,,,
486017612178461,2023/11/25 10:01:56,129,PLATINUM SEATED,483633984861189,rne0727@jack.com,486364045473221,,,,,
486017612178462,2023/11/25 10:01:56,129,PLATINUM SEATED,483633984861189,rne0727@jack.com,486364045473221,,,,,
486017612178463,2023/11/25 10:01:56,129,PLATINUM SEATED,483633984861189,rne0727@jack.com,486364045473221,,,,,
482517400904718,2023/11/25 10:01:59,129,PLATINUM SEATED,486158069220421,wybi2129@jack.com,486364045477381,,,,,
486017612186659,2023/11/25 10:02:00,129,PLATINUM SEATED,477599755215685,2474672@jack.com,486364045485381,,,,,
486017612198968,2023/11/25 10:02:01,129,PLATINUM SEATED,484645713789957,2577589@jack.com,486364045497669,,,,,
486017612198969,2023/11/25 10:02:01,129,PLATINUM SEATED,484645713789957,2577589@jack.com,486364045497669,,,,,
486017612194852,2023/11/25 10:02:03,129,PLATINUM SEATED,482981723976709,3599280@jack.com,486364045497733,,,,,
486017612203026,2023/11/25 10:02:05,129,PLATINUM SEATED,485854102410245,1488002@jack.com,486364049520197,,,,,
486017612178467,2023/11/25 10:02:06,129,PLATINUM SEATED,486196659135493,990873@jack.com,486364049536453,,,,,
486017612194879,2023/11/25 10:02:07,129,PLATINUM SEATED,482543729570885,859362@jack.com,486364049540421,,,,,
486017612174374,2023/11/25 10:02:09,129,PLATINUM SEATED,486160515818565,1280611@jack.com,486364053595653,,,,,
486017612207133,2023/11/25 10:02:11,129,PLATINUM SEATED,484307157079109,331313@jack.com,486364057736837,,,,,
486017612207134,2023/11/25 10:02:11,129,PLATINUM SEATED,484307157079109,331313@jack.com,486364057736837,,,,,
486017612174341,2023/11/25 10:02:13,129,PLATINUM SEATED,486097434739717,410583@jack.com,486364057757381,,,,,
486017612178475,2023/11/25 10:02:15,129,PLATINUM SEATED,484773863875653,1177420@jack.com,486364061791621,,,,,
486017612174370,2023/11/25 10:02:16,129,PLATINUM SEATED,485789025539077,sawen1999@jack.com,486364061799749,,,,,
486017612174371,2023/11/25 10:02:16,129,PLATINUM SEATED,485789025539077,sawen1999@jack.com,486364061799749,,,,,
486017612174372,2023/11/25 10:02:16,129,PLATINUM SEATED,485789025539077,sawen1999@jack.com,486364061799749,,,,,
486017612174373,2023/11/25 10:02:16,129,PLATINUM SEATED,485789025539077,sawen1999@jack.com,486364061799749,,,,,
486017612178453,2023/11/25 10:02:21,129,PLATINUM SEATED,486176203781189,1175946@jack.com,486364065883845,,,,,
486017612178454,2023/11/25 10:02:21,129,PLATINUM SEATED,486176203781189,1175946@jack.com,486364065883845,,,,,
486017612178477,2023/11/25 10:02:23,129,PLATINUM SEATED,482519447381061,447515@jack.com,486364065904261,,,,,
486017612174343,2023/11/25 10:02:24,129,PLATINUM SEATED,486215738909765,10131710@jack.com,486364065920581,,,,,
486017612178469,2023/11/25 10:02:25,129,PLATINUM SEATED,482532354634757,597329@jack.com,486364065924293,,,,,
486017612178476,2023/11/25 10:02:26,129,PLATINUM SEATED,486162666120197,k37@jack.com,486364065928389,,,,,
486017612174342,2023/11/25 10:02:27,129,PLATINUM SEATED,486092940719109,3362494@jack.com,486364065928773,,,,,
486017612182569,2023/11/25 10:02:29,129,PLATINUM SEATED,482624403252293,1304578@jack.com,486364070377093,,,,,
486017612174376,2023/11/25 10:02:30,129,PLATINUM SEATED,485128463238213,3324231@jack.com,486364070393221,,,,,
486017612174375,2023/11/25 10:02:31,129,PLATINUM SEATED,482954256888901,1257079@jack.com,486364070397381,,,,,
486017612203045,2023/11/25 10:02:32,129,PLATINUM SEATED,486142568563717,2457402@jack.com,486364070397573,,,,,
486017612190748,2023/11/25 10:02:35,129,PLATINUM SEATED,484591534810181,18908937@jack.com,486364078253253,,,,,
486017612190749,2023/11/25 10:02:35,129,PLATINUM SEATED,484591534810181,18908937@jack.com,486364078253253,,,,,
486017612182542,2023/11/25 10:02:37,129,PLATINUM SEATED,486351077451077,1798718@jack.com,486364078277829,,,,,
486017612178480,2023/11/25 10:02:38,129,PLATINUM SEATED,481472322491461,194775@jack.com,486364078306565,,,,,
486017612178482,2023/11/25 10:02:38,129,PLATINUM SEATED,481472322491461,194775@jack.com,486364078306565,,,,,
486017612190726,2023/11/25 10:02:40,129,PLATINUM SEATED,482593760519237,nzhang2020@jack.com,486364078327173,,,,,
486017612190727,2023/11/25 10:02:40,129,PLATINUM SEATED,482593760519237,nzhang2020@jack.com,486364078327173,,,,,
486017612207141,2023/11/25 10:02:43,129,PLATINUM SEATED,486159307170885,1kn@jack.com,486364082259205,,,,,
486017612207139,2023/11/25 10:02:45,129,PLATINUM SEATED,482580584543237,yan0705@jack.com,486364086372037,,,,,
486017612207140,2023/11/25 10:02:45,129,PLATINUM SEATED,482580584543237,yan0705@jack.com,486364086372037,,,,,
486017612186673,2023/11/25 10:02:47,129,PLATINUM SEATED,486357869856005,1049162@jack.com,486364086388037,,,,,
486017612174358,2023/11/25 10:02:48,129,PLATINUM SEATED,482529061487685,hwarhee@jack.com,486364086408645,,,,,
486017612174347,2023/11/25 10:02:50,129,PLATINUM SEATED,486269023081477,1905004@jack.com,486364090467589,,,,,
486017612174349,2023/11/25 10:02:50,129,PLATINUM SEATED,486269023081477,1905004@jack.com,486364090467589,,,,,
486017612207119,2023/11/25 10:02:53,129,PLATINUM SEATED,482135350424581,1584724@jack.com,486364094592325,,,,,
486017612207120,2023/11/25 10:02:53,129,PLATINUM SEATED,482135350424581,1584724@jack.com,486364094592325,,,,,
486017612174396,2023/11/25 10:02:56,129,PLATINUM SEATED,486348401386693,573212@jack.com,486364098647301,,,,,
486017612174397,2023/11/25 10:02:56,129,PLATINUM SEATED,486348401386693,573212@jack.com,486364098647301,,,,,
486017612178485,2023/11/25 10:02:58,129,PLATINUM SEATED,486044829529093,10164415@jack.com,486364098655685,,,,,
486017612182566,2023/11/25 10:02:59,129,PLATINUM SEATED,486225054352453,2495043@jack.com,486364098680133,,,,,
486017612182567,2023/11/25 10:02:59,129,PLATINUM SEATED,486225054352453,2495043@jack.com,486364098680133,,,,,
486017612182553,2023/11/25 10:03:01,129,PLATINUM SEATED,486221004608517,1123298@jack.com,486364098688325,,,,,
486017612178492,2023/11/25 10:03:02,129,PLATINUM SEATED,477306631824197,1445697@jack.com,486364098696581,,,,,
486017612190728,2023/11/25 10:03:04,129,PLATINUM SEATED,482537919149125,1669222@jack.com,486364102772357,,,,,
486017612194827,2023/11/25 10:03:05,129,PLATINUM SEATED,486356380612165,kng00@jack.com,486364102784453,,,,,
486017612182533,2023/11/25 10:03:08,129,PLATINUM SEATED,482208129143877,810410@jack.com,486364111574725,,,,,
486017612182534,2023/11/25 10:03:08,129,PLATINUM SEATED,482208129143877,810410@jack.com,486364111574725,,,,,
486017612182535,2023/11/25 10:03:08,129,PLATINUM SEATED,482208129143877,810410@jack.com,486364111574725,,,,,
486017612174378,2023/11/25 10:03:11,129,PLATINUM SEATED,485708666254405,3e@jack.com,486364111590597,,,,,
486017612174379,2023/11/25 10:03:11,129,PLATINUM SEATED,485708666254405,3e@jack.com,486364111590597,,,,,
486017612174352,2023/11/25 10:03:14,129,PLATINUM SEATED,476617587397445,3127409@jack.com,486364115101317,,,,,
486017612174353,2023/11/25 10:03:14,129,PLATINUM SEATED,476617587397445,3127409@jack.com,486364115101317,,,,,
486017612178495,2023/11/25 10:03:17,129,PLATINUM SEATED,483945650709509,3439322@jack.com,486364119123269,,,,,
486017612174385,2023/11/25 10:03:18,129,PLATINUM SEATED,482615887680517,1899376@jack.com,486364119123397,,,,,
486017612174386,2023/11/25 10:03:18,129,PLATINUM SEATED,482615887680517,1899376@jack.com,486364119123397,,,,,
486017612182547,2023/11/25 10:03:20,129,PLATINUM SEATED,486358958057029,3162251@jack.com,486364119148229,,,,,
486017612182548,2023/11/25 10:03:20,129,PLATINUM SEATED,486358958057029,3162251@jack.com,486364119148229,,,,,
486017612182549,2023/11/25 10:03:20,129,PLATINUM SEATED,486358958057029,3162251@jack.com,486364119148229,,,,,
486017612174395,2023/11/25 10:03:24,129,PLATINUM SEATED,478683069350725,3221600@jack.com,486364123231493,,,,,
486017612182579,2023/11/25 10:03:25,129,PLATINUM SEATED,486166054069253,1878772@jack.com,486364123256454,,,,,
486017612174354,2023/11/25 10:03:26,129,PLATINUM SEATED,486214317696069,2508849@jack.com,486364123264261,,,,,
486017612182537,2023/11/25 10:03:28,129,PLATINUM SEATED,485669429720069,1871758@jack.com,486364127327621,,,,,
486017612182543,2023/11/25 10:03:29,129,PLATINUM SEATED,482533827113989,1349771@jack.com,486364127339653,,,,,
486017612182544,2023/11/25 10:03:29,129,PLATINUM SEATED,482533827113989,1349771@jack.com,486364127339653,,,,,
486017612203051,2023/11/25 10:03:32,129,PLATINUM SEATED,486359130703493,1927030@jack.com,486364131411333,,,,,
486017612174387,2023/11/25 10:03:33,129,PLATINUM SEATED,477906869699397,1952228@jack.com,486364131415429,,,,,
486017612174388,2023/11/25 10:03:33,129,PLATINUM SEATED,477906869699397,1952228@jack.com,486364131415429,,,,,
486017612174389,2023/11/25 10:03:33,129,PLATINUM SEATED,477906869699397,1952228@jack.com,486364131415429,,,,,
486017612190764,2023/11/25 10:03:36,129,PLATINUM SEATED,477963349750597,c04yx@jack.com,486364131419845,,,,,
486017612178486,2023/11/25 10:03:37,129,PLATINUM SEATED,486361524958917,215852@jack.com,486364131443973,,,,,
486017612207151,2023/11/25 10:03:38,129,PLATINUM SEATED,486173500793861,kaaa0923@jack.com,486364131448261,,,,,
486017612207152,2023/11/25 10:03:38,129,PLATINUM SEATED,486173500793861,kaaa0923@jack.com,486364131448261,,,,,
486017612182557,2023/11/25 10:03:40,129,PLATINUM SEATED,482876675920965,pworm@jack.com,486364131485253,,,,,
486017612174359,2023/11/25 10:03:42,129,PLATINUM SEATED,486104047145989,17659656@jack.com,486364135519365,,,,,
486017612182536,2023/11/25 10:03:43,129,PLATINUM SEATED,483967412720645,2759992@jack.com,486364135552517,,,,,
486017612207147,2023/11/25 10:03:44,129,PLATINUM SEATED,486361500079813,2146530@jack.com,486364135564421,,,,,
486017612207148,2023/11/25 10:03:44,129,PLATINUM SEATED,486361500079813,2146530@jack.com,486364135564421,,,,,
486017612186674,2023/11/25 10:03:46,129,PLATINUM SEATED,482911365297221,3128907@jack.com,486364135564613,,,,,
486017612186675,2023/11/25 10:03:46,129,PLATINUM SEATED,482911365297221,3128907@jack.com,486364135564613,,,,,
486017612178490,2023/11/25 10:03:48,129,PLATINUM SEATED,486016694350917,xingying8@jack.com,486364135584901,,,,,
486017612190743,2023/11/25 10:03:50,129,PLATINUM SEATED,482571042378821,2044957@jack.com,486364139632325,,,,,
486017612207115,2023/11/25 10:03:51,129,PLATINUM SEATED,486220262032389,2695076@jack.com,486364139648709,,,,,
486017612207116,2023/11/25 10:03:51,129,PLATINUM SEATED,486220262032389,2695076@jack.com,486364139648709,,,,,
486017612198970,2023/11/25 10:03:53,129,PLATINUM SEATED,486164334605381,yhe_luo@jack.com,486364139665030,,,,,
486017612198971,2023/11/25 10:03:53,129,PLATINUM SEATED,486164334605381,yhe_luo@jack.com,486364139665030,,,,,
486017612182551,2023/11/25 10:03:55,129,PLATINUM SEATED,485328835028037,1427212@jack.com,486364139672837,,,,,
486017612182552,2023/11/25 10:03:55,129,PLATINUM SEATED,485328835028037,1427212@jack.com,486364139672837,,,,,
486017612182546,2023/11/25 10:03:58,129,PLATINUM SEATED,486040210850885,1407149@jack.com,486364143789573,,,,,
486017612174398,2023/11/25 10:03:59,129,PLATINUM SEATED,482554693809221,1391056@jack.com,486364143793605,,,,,
486017612174367,2023/11/25 10:04:00,129,PLATINUM SEATED,486170526905413,uxyyz@jack.com,486364143813958,,,,,
486017612203016,2023/11/25 10:04:01,129,PLATINUM SEATED,486151432320005,zgliyang1234@jack.com,486364143813959,,,,,
486017612182560,2023/11/25 10:04:04,129,PLATINUM SEATED,484629741204549,2118399@jack.com,486364152308933,,,,,
486017612182558,2023/11/25 10:04:05,129,PLATINUM SEATED,485846615163973,758341@jack.com,486364152313285,,,,,
486017612182559,2023/11/25 10:04:05,129,PLATINUM SEATED,485846615163973,758341@jack.com,486364152313285,,,,,
486017612190736,2023/11/25 10:04:07,129,PLATINUM SEATED,484236730106949,3981726@jack.com,486364152329925,,,,,
486017612203014,2023/11/25 10:04:09,129,PLATINUM SEATED,486234682065989,854937@jack.com,486364155995589,,,,,
486017612203015,2023/11/25 10:04:09,129,PLATINUM SEATED,486234682065989,854937@jack.com,486364155995589,,,,,
486017612174366,2023/11/25 10:04:11,129,PLATINUM SEATED,478609417536325,1844915@jack.com,486364155999749,,,,,
486017612182586,2023/11/25 10:04:12,129,PLATINUM SEATED,486100249932869,1156037@jack.com,486364156011717,,,,,
486017612182587,2023/11/25 10:04:12,129,PLATINUM SEATED,486100249932869,1156037@jack.com,486364156011717,,,,,
486017612178455,2023/11/25 10:04:14,129,PLATINUM SEATED,486136245691461,1946737@jack.com,486364156020357,,,,,
486017612178456,2023/11/25 10:04:14,129,PLATINUM SEATED,486136245691461,1946737@jack.com,486364156020357,,,,,
486017612174368,2023/11/25 10:04:16,129,PLATINUM SEATED,486162318722053,1686941@jack.com,486364156024197,,,,,
486017612174369,2023/11/25 10:04:16,129,PLATINUM SEATED,486162318722053,1686941@jack.com,486364156024197,,,,,
486017612194874,2023/11/25 10:04:18,129,PLATINUM SEATED,486246139524101,3629577@jack.com,486364156061253,,,,,
486017612194875,2023/11/25 10:04:18,129,PLATINUM SEATED,486246139524101,3629577@jack.com,486364156061253,,,,,
486017612207144,2023/11/25 10:04:20,129,PLATINUM SEATED,484951314928645,2804971@jack.com,486364156093957,,,,,
486017612182561,2023/11/25 10:04:22,129,PLATINUM SEATED,486358928921797,vka@jack.com,486364160099653,,,,,
486017612174365,2023/11/25 10:04:23,129,PLATINUM SEATED,486149060170821,3258247@jack.com,486364160103557,,,,,
486017612203059,2023/11/25 10:04:24,129,PLATINUM SEATED,485483227988997,1509454@jack.com,486364160120453,,,,,
486017612203060,2023/11/25 10:04:24,129,PLATINUM SEATED,485483227988997,1509454@jack.com,486364160120453,,,,,
486017612203061,2023/11/25 10:04:24,129,PLATINUM SEATED,485483227988997,1509454@jack.com,486364160120453,,,,,
486017612203062,2023/11/25 10:04:24,129,PLATINUM SEATED,485483227988997,1509454@jack.com,486364160120453,,,,,
486017612182545,2023/11/25 10:04:28,129,PLATINUM SEATED,486207236703301,kytso0530@jack.com,486364160128581,,,,,
486017612174364,2023/11/25 10:04:30,129,PLATINUM SEATED,485837370655749,2793764@jack.com,486364164191493,,,,,
486017612186635,2023/11/25 10:04:31,129,PLATINUM SEATED,478437990294341,1696535@jack.com,486364164200005,,,,,
486017612190779,2023/11/25 10:04:32,129,PLATINUM SEATED,482924687336453,2868375@jack.com,486364164203717,,,,,
486017612182554,2023/11/25 10:04:34,129,PLATINUM SEATED,485393130140741,864940@jack.com,486364168312133,,,,,
486017612182555,2023/11/25 10:04:34,129,PLATINUM SEATED,485393130140741,864940@jack.com,486364168312133,,,,,
486017612182556,2023/11/25 10:04:34,129,PLATINUM SEATED,485393130140741,864940@jack.com,486364168312133,,,,,
486017612203013,2023/11/25 10:04:37,129,PLATINUM SEATED,486161126671429,3077701@jack.com,486364168316165,,,,,
486017612194856,2023/11/25 10:04:38,129,PLATINUM SEATED,481581300851781,1839660@jack.com,486364168365637,,,,,
486017612182574,2023/11/25 10:04:40,129,PLATINUM SEATED,482552621687813,2346927@jack.com,486364172469381,,,,,
486017612194867,2023/11/25 10:04:41,129,PLATINUM SEATED,480069846741829,2588242@jack.com,486364172473669,,,,,
486017612194868,2023/11/25 10:04:41,129,PLATINUM SEATED,480069846741829,2588242@jack.com,486364172473669,,,,,
486017612182570,2023/11/25 10:04:45,129,PLATINUM SEATED,484576763192389,16032031@jack.com,486364180592005,,,,,
486017612186667,2023/11/25 10:04:46,129,PLATINUM SEATED,486191934186565,312218@jack.com,486364180604037,,,,,
486017612198927,2023/11/25 10:04:48,129,PLATINUM SEATED,486203382613061,2183289@jack.com,486364184724869,,,,,
486017612207135,2023/11/25 10:04:50,129,PLATINUM SEATED,486354409497797,2086226@jack.com,486364188751557,,,,,
486017612207136,2023/11/25 10:04:50,129,PLATINUM SEATED,486354409497797,2086226@jack.com,486364188751557,,,,,
486017612207137,2023/11/25 10:04:50,129,PLATINUM SEATED,486354409497797,2086226@jack.com,486364188751557,,,,,
486017612207138,2023/11/25 10:04:50,129,PLATINUM SEATED,486354409497797,2086226@jack.com,486364188751557,,,,,
486017612186654,2023/11/25 10:04:54,129,PLATINUM SEATED,486248636863493,2974641@jack.com,486364188800709,,,,,
486017612174380,2023/11/25 10:04:55,129,PLATINUM SEATED,477591302501189,3152451@jack.com,486364188804677,,,,,
486017612182577,2023/11/25 10:04:57,129,PLATINUM SEATED,482556454831109,871180@jack.com,486364193498565,,,,,
486017612182578,2023/11/25 10:04:57,129,PLATINUM SEATED,482556454831109,871180@jack.com,486364193498565,,,,,
486017612182575,2023/11/25 10:04:59,129,PLATINUM SEATED,486357284836613,1744250@jack.com,486364193510981,,,,,
